title,date,path,overview
Worldwide Teach-in on Climate Justice,03/18/2022,climate_teach_in_poster.png,a
Listening in Nature Event,04/22/2022,listening_in_nature.jpg,a
Listening in Nature Event,11/05/2021,listening_in_nature_5thNov.jpg,a
The Ecology of Genocide,11/03/2021,CU-NEC-Ecology-of-Genocide-11-3-21-Poster.png,a
Environmental Defenders Panel,10/29/2021,environmental_defenders_panel_participants.png,a
Graduate Students Symposium ’21,05/19/2021,graduate_symposium.png,a
Reflecting on the Climate Crisis through Art,05/14/2021,ref_climate_crisis_thru_art.png,a
Explore the East-west Trail,05/12/2021,explore_the_east-west_trail.png,a
Hadwen Arboretum Tour,05/07/2021,hadwen_arboretum_tour.png,a
East-west Trail Kiosk Unveiling & Hike,05/06/2021,e-w_trail_kiosk.jpg,a
What Happened to the Bees?,05/05/2021,what_happend_to_the_bees.jpg,a
Community Campfire,05/05/2021,community_campfire.jpg,a
Nature Meditation & Reflective Drawing,05/04/2021,nature_meditation_and_reflective_drawing.png,a
Bat Observation at Coes Pond,05/03/2021,bat_observation_coes_pond.png,a
Ethical Sourcing in Jewelry,04/29/2021,ethical_sourcing_in_jewelry.jpg,a
Making Place-based Sustainability Initiatives Visible in the Brazilian Amazon,04/12/2021,Martin_New-Deal-768x511.png,a
T’áá Hwó Ají t’éego and the End of the Navajo Coal Industry,03/19/2021,Curley-talk-e1616172482968.jpg,a
Gather,11/19/2020,Gather_film-still-5_Twila-and-Mae-portrait-scaled-e1604452757440-768x590.jpg,a
A Syndemic 400 Years in the Making,11/12/2020,sacoby-wilson-1-e1597337765657-768x509.jpg,a
The Climate Crisis and the 2020 Election,10/29/2020,fires-smoke-hurricanes-1024x522.jpg,a
Vulnerability and Resilience: What is Our Role?,10/28/2020,Screen-Shot-2020-10-22-at-1.17.44-PM-e1603387643555-768x415.png,a
Fly Me to the Moon,10/16/2020,Screen-Shot-2020-10-05-at-5.48.55-PM-768x640.png,a
Farming While Black,10/14/2020,farming-while-black-screen-2-768x512.jpg,a
Resource Radicals,10/02/2020,TheaRiofrancos-e1603906965747.jpg,a
Extractives and Gis,09/25/2020,Screen-Shot-2020-09-23-at-11.14.02-AM.png,a
Hadwen Arboretum Tour,09/25/2020,Arboretum-2-e1600106451177-768x460.jpeg,a
Soundscape Tours of Main South,09/24/2020,WOO-Map-e1600108794957-768x522.png,a
Thoreau and the Environment,09/23/2020,133b-b-e1599780764594-768x527.jpg,a
Listening in Nature Week,09/21/2020,CUBBS_LIN-Week-cover-F20_small-768x520.png,a
How Do Soundwalks Engage Communities?,09/21/2020,Screen-Shot-2020-08-31-at-11.12.08-AM-768x296.png,a
Collaborative Launch,08/26/2020,Denise_CUHF-9.8-copy-2-768x491.jpg,a
Ecopoetics with Elizabeth Lindsey Rogers,02/24/2020,Elizabeth-Lindsey-Rogers-scaled-e1580499282566-945x1024.jpeg,a
Sacred Instructions,02/13/2020,Screen-Shot-2020-01-13-at-4.44.20-PM-768x391.png,a
"Decolonizing our Hearts, Minds, and Movements",02/12/2020,Sherri-Mitchell-by-the-river-768x572.jpg,a
The Uncertain Human Future,02/11/2020,Exhibit-notice_cubbs--768x485.jpg,a
Collaborative Launch,01/15/2020,Denise_CUHF-9.8-copy-2-768x432.jpg,a
