name,img,role,bio
Denise Humphreys Bebbington,https://newearthconversation.org/wp-content/uploads/2022/02/denise-headshot-e1645540647461.jpg,Faculty Convener,"Denise Humphreys Bebbington is Research Associate Professor in the Department of International Development, Community and Environment (IDCE), and Faculty Convener for A new Earth conversation. Her current research focuses on social mobilization and socio environmental conflict linked to natural resource extraction and large-scale infrastructure development in Latin America. She is co-author of Governing extractive industries: Politics, histories ideas (Oxford University Press 2018)."
Helen Rosko,https://newearthconversation.org/wp-content/uploads/2022/02/Rosko-Headshot-scaled-e1645540613505.jpg,Coordinator,"Helen Rosko is a recent Ph.D. graduate from the Graduate School of Geography at Clark University. Her interests include research, pedagogy, and service aimed at climate change adaptation, vulnerable livelihoods, and international/domestic development efforts."
Chuck Agosta,https://newearthconversation.org/wp-content/uploads/2019/12/CAgosta.jpg,Professor of Physics,"Chuck Agosta is Professor of Physics at Clark University, and recently served as Chair of the department. He is a low temperature experimental physicist and CEO of Machflow Energy, a clean-tech company. His renewable energy course, The Technology of Renewable Energy, focuses on technical and social issues of converting campus to a dc microgrid, and leveraging the cogeneration plant on campus and future renewable energy sources."
Jessica Bane Robert,https://newearthconversation.org/wp-content/uploads/2019/12/JBR.jpg,Director of Prestigious Fellowships & Scholarships,"Jessica Bane Robert is the Director of Prestigious Fellowships & Scholarships at Clark University; she also teaches in the English Department and other interdisciplinary programs at Clark, often with an environmental focus. She is the proprietor of a retreat space in Leicester, Ma for educators and writers; her own poems and essays have appeared in numerous anthologies and journal."
Tony Bebbington,https://newearthconversation.org/wp-content/uploads/2019/12/Anthony-Bebbington-face-e1576001745375.jpg,Higgins Professor of Environment and Society,"Tony Bebbington is Higgins Professor of Environment and Society in the Graduate School of Geography and one of the lead conveners of the Clark Center for the Study of Natural Resource Extraction and Society, Extractives@Clark. He is Professorial Research Fellow at the University of Manchester, Research Associate at Rimisp-Latin American Center for Rural Development in Chile, serves as a Director of Oxfam America, and is a member of the National Academy of Sciences. His work focuses on extractive industries, socio-environmental conflicts and territorial dynamics in Latin America."
Ed Carr,https://newearthconversation.org/wp-content/uploads/2019/12/ed-carr-clark-university-223x300-e1576001913567.jpg,"Director of the International Development, Community, and Environment Department","Ed Carr is Director of the International Development, Community, and Environment Department (IDCE). Having conducted research in sub-Saharan Africa, he is both an anthropologist and geographer concerned with themes of globalization, development, and environmental change. In his book Development: Globalization’s shoreline and the Road to a Sustainable Future, he critically engages with existing development theories and practices."
Steve Levin,https://newearthconversation.org/wp-content/uploads/2019/12/DSC_0752-e1576090059118.jpg,Associate Professor of English and Director of Graduate Studies in English,"Steve Levin is Associate Professor of English and Director of Graduate Studies in English. He studies contemporary British and postcolonial literature, literary theory, and transnational cultural studies. More specifically, his research focuses on how contemporary culture and discourses of self- identity are shaped by twentieth-century global patterns."
Rinku Roy,https://newearthconversation.org/wp-content/uploads/2019/12/RChowdhury.jpeg,Associate Professor in the Graduate School of Geography ,"Rinku Roy Chowdhury is Associate Professor in the Graduate School of Geography at Clark. Her research focuses on human-environment interactions in a variety of arenas, and the evolution of adaptive strategies in the face of climate and political-economic change."
Morgan Ruelle,https://newearthconversation.org/wp-content/uploads/2020/02/Morgan-1.jpg,"Assistant Professor in the Department of International Development, Community and Environment","Morgan Ruelle is Assistant Professor in the Department of International Development, Community and Environment (IDCE). He is a human ecologist who studies how biodiversity and indigenous knowledge contribute to food sovereignty and security in the context of climate change."
Rachael Shea,https://newearthconversation.org/wp-content/uploads/2019/12/RShea.jpeg,Head of Public Services at the Robert H. Goddard Library,"Rachael Shea is the Head of Public Services at the Robert H. Goddard Library at Clark. As an adjunct faculty member at Clark, she integrates her understanding of Huichol, Lakota and other indigenous traditions in her course Sustainability and the Sacred. Community, exchange, and relationship are at the heart of her work as a librarian and as a teacher."
Susi Moser,n/a,"Geography PhD ’97, Susanne Moser Research and Consulting",
Diana Chapman Walsh,n/a,"President Emerita, Wellesley College",
Rebecca Carrillo,https://newearthconversation.org/wp-content/uploads/2022/02/IMG-7463-2-scaled-e1645540915835.jpg,Communications Fellow,"Rebecca is a junior undergraduate student at Clark serving as the Communications & Outreach Fellow at NEC. She is double majoring in Environmental Science and Political Science. While Rebecca isn’t studying, she likes to listen to science podcasts and go birding. She is excited to work with NEC and combine her interests in the intersection of climate change and communities on campus."
Konish Naidu,https://newearthconversation.org/wp-content/uploads/2021/11/Headshot-e1645541038272.png,Graduate Fellow,"Konish Naidu is the NEC Graduate Fellow. He is a first-year master’s student majoring in Environmental Science and Policy. His interests include any topic that relates to climate change and environmental conservation. He hopes to meaningfully engage with the Clark community and spread awareness about issues around climate change. Konish is an avid soccer player, swimmer, and athlete. His passions include travel and photography."
